Num,X,Y,Z,timestamp(timeIntervalSince1970)
158,-0.1381666660308838,-1.309130072593689,-0.2905343472957611,1652824256.1299381
159,-0.10015402734279633,-1.3306468725204468,-0.3113757371902466,1652824256.1399832
160,-0.08927129209041595,-1.3155022859573364,-0.32423800230026245,1652824256.149932
161,-0.08490210771560669,-1.3169057369232178,-0.3332514762878418,1652824256.159902
162,-0.08851921558380127,-1.2981480360031128,-0.3378238379955292,1652824256.170014
163,-0.0933200940489769,-1.276618480682373,-0.34302687644958496,1652824256.179985
164,-0.11450979858636856,-1.2718626260757446,-0.3573663830757141,1652824256.1899118
165,-0.14259709417819977,-1.295749306678772,-0.37309741973876953,1652824256.199893
166,-0.1533687859773636,-1.3067097663879395,-0.3833923935890198,1652824256.209837
167,-0.15454909205436707,-1.229175329208374,-0.38523876667022705,1652824256.218958
168,-0.1576295793056488,-1.1332757472991943,-0.40246596932411194,1652824256.2299151
169,-0.16960367560386658,-0.9426090717315674,-0.38592877984046936,1652824256.239903
170,-0.11379926651716232,-0.7680132985115051,-0.3753318190574646,1652824256.249909
171,-0.024160729721188545,-0.6544966101646423,-0.36333799362182617,1652824256.259849
172,0.04109364002943039,-0.5977433323860168,-0.340078204870224,1652824256.269979
173,0.05631626769900322,-0.5503965616226196,-0.3022621273994446,1652824256.2798982
174,0.04836913198232651,-0.5460888743400574,-0.24970969557762146,1652824256.289908
175,0.04007924348115921,-0.5819970965385437,-0.19606643915176392,1652824256.299974
176,0.031038610264658928,-0.6374363899230957,-0.16859248280525208,1652824256.309974
177,0.03008999116718769,-0.6730572581291199,-0.15930017828941345,1652824256.318952
178,0.041546110063791275,-0.6447861790657043,-0.14014431834220886,1652824256.329057
179,0.07750890403985977,-0.563827395439148,-0.12416402250528336,1652824256.3389711
180,0.1372004598379135,-0.4563712775707245,-0.11295158416032791,1652824256.34992
181,0.17445223033428192,-0.3911624252796173,-0.08961883187294006,1652824256.359683
182,0.21012075245380402,-0.3246918022632599,-0.049973417073488235,1652824256.36903
183,0.21427766978740692,-0.19952349364757538,-0.038485605269670486,1652824256.379912
184,0.15995611250400543,-0.06686105579137802,-0.04890123009681702,1652824256.389327
185,0.07345344126224518,-0.01061935443431139,-0.05259450152516365,1652824256.399045
186,-0.0179398525506258,0.01119060255587101,-0.03136751055717468,1652824256.409017
187,-0.041974615305662155,0.06568872928619385,-0.006955377757549286,1652824256.4190931
188,-0.032463934272527695,0.12721706926822662,-0.01248196978121996,1652824256.429914
189,-0.028991704806685448,0.14143915474414825,-0.04920775815844536,1652824256.4393191
190,-0.0515097975730896,0.13458603620529175,-0.06875216960906982,1652824256.449904
191,-0.05625049024820328,0.08352845162153244,-0.05373087152838707,1652824256.459913
192,-0.053646184504032135,0.04084836319088936,-0.026631077751517296,1652824256.469129
193,-0.04156874865293503,0.08723343908786774,0.00042317630141042173,1652824256.479969
194,-0.03978895768523216,0.16723665595054626,0.012430304661393166,1652824256.4899678
195,-0.05666008219122887,0.26618561148643494,0.02310878038406372,1652824256.499079
196,-0.07033674418926239,0.38460972905158997,0.049923352897167206,1652824256.5099
197,-0.06679368019104004,0.4816979169845581,0.07527584582567215,1652824256.5192652
198,-0.035723909735679626,0.562705934047699,0.08244667202234268,1652824256.529912
199,0.005289570428431034,0.676866888999939,0.0852334052324295,1652824256.539071
200,0.03982411324977875,0.7786039113998413,0.07621434330940247,1652824256.549903
201,0.062372565269470215,0.881741464138031,0.06998893618583679,1652824256.559897
202,0.0647323876619339,0.9761249423027039,0.08318250626325607,1652824256.569243
203,0.0546315535902977,1.016603708267212,0.10265074670314789,1652824256.579911
204,0.038121018558740616,1.033724308013916,0.12473580986261368,1652824256.589905
205,0.01612863689661026,1.0481083393096924,0.13887080550193787,1652824256.599893
206,0.0028333370573818684,1.0275779962539673,0.162958562374115,1652824256.6098971
207,-0.016861537471413612,0.9896090626716614,0.19349676370620728,1652824256.619382
208,-0.030366694554686546,0.962958037853241,0.22907152771949768,1652824256.62991
209,-0.02468217723071575,0.922756016254425,0.24621111154556274,1652824256.6399698
210,0.0031044469214975834,0.9257363677024841,0.25504186749458313,1652824256.649969
211,0.0626109167933464,0.9650331735610962,0.2513432800769806,1652824256.659789
212,0.14196325838565826,1.0177267789840698,0.23148542642593384,1652824256.669363
213,0.20542345941066742,1.0917967557907104,0.2233598530292511,1652824256.6799212
214,0.25535401701927185,1.1597131490707397,0.22629252076148987,1652824256.689907
215,0.2938755750656128,1.219239592552185,0.23260848224163055,1652824256.699891
216,0.3234616816043854,1.277129054069519,0.2417396605014801,1652824256.7099
217,0.32509472966194153,1.3330847024917603,0.24184511601924896,1652824256.719427
218,0.2904011905193329,1.379294753074646,0.2310768961906433,1652824256.7299
219,0.22921134531497955,1.4242558479309082,0.22798815369606018,1652824256.739897
220,0.1772134006023407,1.4601757526397705,0.2407846450805664,1652824256.749909
221,0.16501079499721527,1.5068689584732056,0.25407862663269043,1652824256.7599912
222,0.18300363421440125,1.5584172010421753,0.25995808839797974,1652824256.769531
223,0.21622072160243988,1.591855764389038,0.2611088156700134,1652824256.7799149
224,0.2580389976501465,1.626227855682373,0.27423182129859924,1652824256.7900329
225,0.30109938979148865,1.6258167028427124,0.2838841676712036,1652824256.7999969
226,0.32462841272354126,1.590902328491211,0.2858133614063263,1652824256.809936
227,0.32337886095046997,1.5637831687927246,0.2824910879135132,1652824256.819583
228,0.31582215428352356,1.5749915838241577,0.2943384349346161,1652824256.83
229,0.3082126975059509,1.6100516319274902,0.3014852702617645,1652824256.8399901
230,0.28968802094459534,1.6371567249298096,0.2901327610015869,1652824256.849983
231,0.23753958940505981,1.6479345560073853,0.285198450088501,1652824256.859932
